task_type,complexity,team_size,resource_cpu,resource_person,has_dependencies,estimated_duration,actual_duration
design,1,4,3.2,3.2,0,28.3,37.6
test,8,3,0.9,3.1,0,101.8,290.0
design,7,1,3.3,1.5,1,98.3,247.3
design,10,3,3.7,1.1,0,53.6,108.8
test,3,5,2.6,2.7,0,114.5,160.0
deploy,1,3,3.8,2.2,1,89.7,133.7
design,5,2,3.4,1.1,1,92.0,178.4
test,4,1,2.8,2.9,1,187.4,328.8
dev,10,2,2.5,4.0,0,63.6,172.0
deploy,8,2,1.7,3.1,1,164.0,433.6
dev,1,5,1.1,3.1,0,147.0,223.8
dev,10,1,2.6,3.8,0,146.3,415.2
test,1,1,1.6,1.2,0,169.1,158.9
design,4,1,3.5,2.5,1,141.6,259.4
test,8,1,4.0,3.9,1,221.0,482.2
test,5,1,3.1,1.1,1,172.1,407.9
test,2,5,0.8,3.0,1,141.3,175.1
test,6,3,1.5,2.6,1,209.1,329.5
deploy,5,2,0.9,2.6,0,155.5,291.4
design,2,1,2.8,2.9,0,79.9,122.8
dev,3,3,3.2,3.8,0,59.7,106.9
dev,9,3,3.7,3.2,0,46.6,100.6
design,7,2,2.0,0.7,1,225.9,656.3
dev,7,5,3.7,3.5,1,180.4,404.6
design,6,4,3.6,1.3,0,235.0,599.5
dev,8,4,1.6,1.8,1,154.8,361.3
test,4,3,3.5,2.1,1,123.6,235.1
dev,8,2,1.8,2.2,0,24.3,58.5
design,4,4,1.5,2.0,0,171.2,245.1
design,8,3,2.8,3.8,1,149.7,485.9
design,9,5,1.6,3.0,1,247.7,728.9
design,3,4,2.7,2.7,0,67.4,116.0
design,3,3,2.6,0.7,0,137.4,258.9
deploy,2,3,2.5,3.7,0,166.2,214.3
deploy,10,1,1.8,3.7,1,164.7,512.0
dev,3,5,2.4,3.2,0,144.7,318.8
design,3,1,2.6,0.5,0,196.5,255.4
dev,5,2,2.4,0.7,1,59.2,147.1
design,5,1,2.1,1.3,1,184.2,264.4
design,2,1,0.6,1.0,1,158.7,253.9
deploy,10,4,2.6,1.9,1,225.1,576.0
deploy,6,3,1.1,3.7,1,213.3,568.2
test,5,5,2.7,2.2,0,85.6,201.0
deploy,6,1,3.2,0.5,0,76.3,182.5
test,1,5,2.3,1.5,1,245.6,498.9
test,5,1,2.4,0.7,1,136.5,259.6
test,9,2,3.8,0.6,1,227.5,510.6
test,10,1,3.5,1.5,1,49.3,143.4
test,2,4,3.7,1.5,1,164.3,287.9
dev,1,3,3.3,3.3,0,204.4,333.0
deploy,10,2,0.9,3.9,0,237.4,394.9
test,9,1,1.0,1.8,0,91.0,266.5
design,10,5,2.3,2.0,0,184.0,568.2
deploy,9,2,1.4,3.5,1,139.3,327.7
deploy,9,2,2.2,1.4,0,24.6,63.6
test,6,1,1.9,1.0,1,175.6,439.8
dev,8,2,2.4,3.5,1,175.6,450.9
test,1,5,3.1,0.7,1,233.3,287.2
dev,10,2,3.0,2.7,0,129.4,304.8
design,4,5,2.3,2.5,1,65.3,167.0
deploy,1,1,3.4,1.7,0,20.7,26.4
design,8,3,2.0,1.6,0,109.8,248.0
dev,1,2,3.6,3.2,1,82.5,142.4
dev,3,3,0.7,0.8,1,192.7,395.1
design,4,5,3.8,1.3,1,95.0,235.9
dev,8,2,2.8,3.1,0,237.8,489.9
design,6,4,1.8,2.4,1,241.0,546.1
deploy,10,3,1.2,0.9,0,159.0,307.5
design,7,2,2.2,3.6,1,232.9,530.5
deploy,8,3,1.2,1.9,1,192.6,584.1
design,2,2,1.1,3.4,0,141.2,190.1
dev,10,1,2.7,3.3,0,53.3,132.6
design,8,3,2.3,2.7,0,120.1,324.1
dev,3,4,2.8,2.2,0,144.6,257.5
design,7,4,3.8,3.9,0,217.4,531.0
design,3,5,2.4,1.0,0,125.5,176.7
test,7,2,2.5,3.0,1,225.4,508.3
dev,2,3,0.8,1.2,1,171.8,364.0
test,10,5,3.0,1.7,0,42.9,124.6
dev,6,3,1.9,1.6,1,248.8,745.9
test,3,2,3.9,3.8,0,136.5,185.4
deploy,3,4,3.4,3.9,1,104.0,208.8
design,9,1,2.3,1.1,1,168.2,402.0
dev,7,4,0.9,0.6,0,36.1,89.7
dev,5,5,3.5,3.0,0,162.8,384.1
design,10,1,3.3,2.0,0,129.6,329.5
dev,7,5,1.1,0.8,1,107.6,342.2
dev,9,2,1.5,2.9,0,238.7,555.0
test,1,1,3.3,2.4,1,135.4,179.6
dev,7,5,1.1,3.9,0,62.6,110.2
deploy,6,2,3.7,1.3,1,120.2,291.8
deploy,10,4,2.0,1.9,1,230.7,742.4
design,9,2,0.8,2.4,0,52.3,120.6
dev,1,3,3.4,3.3,1,61.3,90.5
design,4,2,1.8,2.4,1,13.1,24.8
